xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time,XNC (G)
31945.92,11942.06,11395.97,3718.998,2840.207,3237.120921,-0.761700779,22181.87872,4.0205362,100.5317056
31912.04,11940.91,11446.53,3722.002,2815.953748,3219.960459,-0.766796322,22102.23914,4.0370768,99.99877201
31878.88,11939.77,11496.03,3724.993,2791.75301,3202.670329,-0.771783542,22022.99899,4.0538343,99.46181146
31845.09,11938.6,11546.45,3728.136,2767.621868,3185.283269,-0.77686495,21944.19617,4.0705713,98.92184064
31811.67,11937.42,11596.33,3731.328,2743.592012,3167.932181,-0.781892197,21864.84433,4.0877281,98.38298697
31776.92,11936.18,11648.18,3734.789,2719.681141,3150.68493,-0.787119016,21784.75574,4.1049931,97.84735807
31745.27,11935.03,11695.44,3737.977,2695.888133,3133.246141,-0.791881471,21705.69246,4.1207103,97.30578079
31712.54,11933.82,11744.28,3741.42,2672.203957,3115.411794,-0.796804733,21629.98629,4.1370344,96.75191906
31678.57,11932.55,11794.96,3745.163,2648.723057,3097.998746,-0.801915112,21551.57889,4.1543214,96.21114118
31645.36,11931.31,11844.51,3748.954,2625.439946,3080.769792,-0.806911569,21472.10116,4.170742,95.67608051
31610.97,11929.99,11895.78,3753.073,2602.356828,3063.638122,-0.812083807,21392.58114,4.1883523,95.14404105
